"","polity","realized_coup","type_of_coup","replicate","n","number"
"1",-10,0,"attempt",1,5,5
"2",-10,0,"attempt",2,10,10
"3",-10,0,"attempt",3,2,2
"4",-10,0,"attempt",4,3,3
"5",-10,0,"attempt",5,5,5
"6",-10,0,"attempt",6,6,6
"7",-10,0,"attempt",7,4,4
"8",-10,0,"attempt",8,3,3
"9",-10,0,"attempt",9,1,1
"10",-10,0,"attempt",10,10,10
"11",-10,0,"attempt",11,1,1
"12",-10,0,"attempt",12,6,6
"13",-10,0,"attempt",13,4,4
"14",-10,0,"attempt",14,4,4
"15",-10,0,"attempt",15,9,9
"16",-10,0,"attempt",16,8,8
"17",-10,0,"attempt",17,8,8
"18",-10,0,"attempt",18,5,5
"19",-10,0,"attempt",19,3,3
"20",-10,0,"attempt",20,8,8
"21",-10,0,"attempt",21,3,3
"22",-10,0,"attempt",22,10,10
"23",-10,0,"attempt",23,4,4
"24",-10,0,"attempt",24,6,6
"25",-10,0,"attempt",25,5,5
"26",-10,0,"attempt",26,8,8
"27",-10,0,"attempt",27,4,4
"28",-10,0,"attempt",28,8,8
"29",-10,0,"attempt",29,1,1
"30",-10,0,"attempt",30,6,6
"31",-10,0,"attempt",31,4,4
"32",-10,0,"attempt",32,5,5
"33",-10,0,"attempt",33,6,6
"34",-10,0,"attempt",34,4,4
"35",-10,0,"attempt",35,6,6
"36",-10,0,"attempt",36,7,7
"37",-10,0,"attempt",37,9,9
"38",-10,0,"attempt",38,4,4
"39",-10,0,"attempt",39,7,7
"40",-10,0,"attempt",40,7,7
"41",-10,0,"attempt",41,3,3
"42",-10,0,"attempt",42,8,8
"43",-10,0,"attempt",43,4,4
"44",-10,0,"attempt",44,4,4
"45",-10,0,"attempt",45,4,4
"46",-10,0,"attempt",46,7,7
"47",-10,0,"attempt",47,5,5
"48",-10,0,"attempt",48,5,5
"49",-10,0,"attempt",49,5,5
"50",-10,0,"attempt",50,3,3
"51",-10,0,"conspiracy",1,10,10
"52",-10,0,"conspiracy",2,1,1
"53",-10,0,"conspiracy",3,6,6
"54",-10,0,"conspiracy",4,2,2
"55",-10,0,"conspiracy",5,3,3
"56",-10,0,"conspiracy",6,2,2
"57",-10,0,"conspiracy",7,3,3
"58",-10,0,"conspiracy",8,5,5
"59",-10,0,"conspiracy",9,10,10
"60",-10,0,"conspiracy",10,3,3
"61",-10,0,"conspiracy",11,4,4
"62",-10,0,"conspiracy",12,8,8
"63",-10,0,"conspiracy",13,5,5
"64",-10,0,"conspiracy",14,5,5
"65",-10,0,"conspiracy",15,5,5
"66",-10,0,"conspiracy",16,5,5
"67",-10,0,"conspiracy",17,7,7
"68",-10,0,"conspiracy",18,5,5
"69",-10,0,"conspiracy",19,5,5
"70",-10,0,"conspiracy",20,5,5
"71",-10,0,"conspiracy",21,6,6
"72",-10,0,"conspiracy",22,6,6
"73",-10,0,"conspiracy",23,6,6
"74",-10,0,"conspiracy",24,3,3
"75",-10,0,"conspiracy",25,3,3
"76",-10,0,"conspiracy",26,4,4
"77",-10,0,"conspiracy",27,2,2
"78",-10,0,"conspiracy",28,4,4
"79",-10,0,"conspiracy",29,3,3
"80",-10,0,"conspiracy",30,1,1
"81",-10,0,"conspiracy",31,11,11
"82",-10,0,"conspiracy",32,4,4
"83",-10,0,"conspiracy",33,1,1
"84",-10,0,"conspiracy",34,4,4
"85",-10,0,"conspiracy",35,3,3
"86",-10,0,"conspiracy",36,5,5
