,country_name,mort_rate,birth_rate,death_rate,level_infl,realized_coup
1,Afghanistan,17.26,48.763,14.783,4,0
2,Angola,22.36,50.168,19.533,4,0
3,Albania,3.89,24.245,6.073,4,0
4,Andorra,1.02,11.9,NA,4,0
6,United Arab Emirates,1.57,24.828,2.481,4,0
7,Argentina,2.81,22.036,8.112,3,0
8,Armenia,4.69,20.764,8.619,4,0
9,Antigua and Barbuda,2.64,18.776,7.008,3,0
10,Australia,0.87,14.9,6.9,3,0
11,Austria,0.91,12.2,10.8,4,0
12,Azerbaijan,9.58,26.6,6.3,4,0
13,Burundi,17.65,49.136,17.396,4,0
14,Belgium,0.96,12.6,10.4,3,0
15,Benin,17.13,45.745,14.272,4,0
16,Burkina Faso,19.89,47.296,16.963,4,0
17,Bangladesh,13.77,34.183,9.929,4,0
18,Bulgaria,1.88,11.1,12.8,4,0
19,Bahrain,2.26,28.276,3.313,3,0
20,"Bahamas, The",2.24,23.73,5.542,3,0
21,Bosnia and Herzegovina,1.68,14.416,8.025,4,0
22,Belarus,1.52,13,11.2,4,0
23,Belize,3.59,35.282,5.473,4,0
24,Bolivia,11.65,34.86,12.254,4,0
25,Brazil,6.02,24.245,6.835,4,0
26,Barbados,1.74,15.784,7.69,4,0
27,Brunei Darussalam,1.34,28.997,4.285,4,0
28,Bhutan,12.17,37.126,12.657,4,0
29,Botswana,5.36,34.116,9.375,4,0
30,Central African Republic,17.98,41.81,16.968,4,0
31,Canada,0.8,14.9,7,2,0
33,Switzerland,0.79,12.7,9.2,4,0
34,Chile,1.76,21.979,5.508,4,0
35,China,5.32,19.68,6.7,3,0
36,Cote d'Ivoire,15.51,42.906,13.247,4,0
38,Cameroon,13.9,44.405,14.15,4,0
39,"Congo, Dem. Rep.",18.37,46.084,16.532,4,0
40,"Congo, Rep.",9.18,37.903,11.647,4,0
41,Colombia,3.41,26.844,5.693,4,0
42,Comoros,12.13,41.878,11.158,4,0
43,Cabo Verde,5.91,39.848,8.269,4,0
44,Costa Rica,1.62,26.644,3.933,4,0
46,Cuba,1.27,15.953,7.128,3,0
47,Cyprus,1.08,18.694,6.953,3,0
48,Czech Republic,1.17,12.5,12.1,4,0
49,Germany,0.8,10.4,11.4,1,0
50,Djibouti,11.62,39.42,10.784,3,0
51,Dominica,1.63,NA,NA,4,0
52,Denmark,0.84,12.5,11.6,3,0
53,Dominican Republic,5.78,29.162,6.501,4,0
54,Algeria,4.82,30.774,6.035,4,0
